case_id,case_number,filing_date,registration_date,case_type,nature_of_case,district,state,court_name,court_name_level,adjournments_count,petitioner_count,respondent_count,last_hearing_date,next_hearing_date,status
SC-2024-0001,Writ Petition (POCSO) No. 5080 of 2010,2010-04-24,2010-04-24,Writ Petition (POCSO),CRITICAL / LIFE & LIBERTY,New Delhi,Tamil Nadu,Supreme Court of India,Apex Court,88,4,1,2026-06-19,2026-07-24,Adjourned
SC-2024-0002,Habeas Corpus No. 5279 of 2011,2011-06-01,2011-06-01,Habeas Corpus,CRITICAL / LIFE & LIBERTY,New Delhi,Gujarat,Supreme Court of India,Apex Court,86,4,10,2026-06-30,2026-09-04,Adjourned
SC-2024-0003,Habeas Corpus No. 6245 of 2005,2005-09-18,2005-09-18,Habeas Corpus,CRITICAL / LIFE & LIBERTY,New Delhi,Maharashtra,Supreme Court of India,Apex Court,66,8,3,2026-07-02,2026-07-24,Adjourned
SC-2024-0004,Criminal Appeal (Murder Case) No. 6958 of 2011,2011-12-14,2011-12-14,Criminal Appeal (Murder Case),CRITICAL / LIFE & LIBERTY,New Delhi,West Bengal,Supreme Court of India,Apex Court,66,7,5,2026-06-16,2026-08-22,Adjourned
SC-2024-0005,Criminal Appeal (Murder Case) No. 5863 of 2005,2005-03-15,2005-03-15,Criminal Appeal (Murder Case),CRITICAL / LIFE & LIBERTY,New Delhi,Uttar Pradesh,Supreme Court of India,Apex Court,87,7,4,2026-06-24,2026-07-20,Adjourned
SC-2024-0006,SLP (Criminal) - BAIL No. 3904 of 2015,2015-07-24,2015-07-24,SLP (Criminal) - BAIL,ELEVATED RISK,New Delhi,Karnataka,Supreme Court of India,Apex Court,52,7,8,2026-06-13,2026-07-14,Adjourned
SC-2024-0007,SLP (Criminal) - BAIL No. 5112 of 2016,2016-12-10,2016-12-10,SLP (Criminal) - BAIL,ELEVATED RISK,New Delhi,Karnataka,Supreme Court of India,Apex Court,52,3,3,2026-07-01,2026-08-16,Adjourned
SC-2024-0008,Civil Appeal (Land Registry) No. 9388 of 2017,2017-08-14,2017-08-14,Civil Appeal (Land Registry),ELEVATED RISK,New Delhi,Delhi,Supreme Court of India,Apex Court,50,5,3,2026-06-23,2026-08-17,Adjourned
SC-2024-0009,Civil Appeal (Land Registry) No. 3733 of 2016,2016-06-28,2016-06-28,Civil Appeal (Land Registry),ELEVATED RISK,New Delhi,Karnataka,Supreme Court of India,Apex Court,54,5,4,2026-06-13,2026-08-24,Adjourned
SC-2024-0010,Writ Petition No. 5010 of 2019,2019-03-08,2019-03-08,Writ Petition,ELEVATED RISK,New Delhi,Gujarat,Supreme Court of India,Apex Court,45,6,2,2026-06-28,2026-07-14,Adjourned
SC-2024-0011,SLP (Criminal) - BAIL No. 7678 of 2017,2017-03-13,2017-03-13,SLP (Criminal) - BAIL,ELEVATED RISK,New Delhi,Tamil Nadu,Supreme Court of India,Apex Court,52,8,10,2026-06-10,2026-07-18,Adjourned
SC-2024-0012,Writ Petition No. 7279 of 2018,2018-11-17,2018-11-17,Writ Petition,ELEVATED RISK,New Delhi,Delhi,Supreme Court of India,Apex Court,52,8,4,2026-06-16,2026-07-26,Adjourned
