ddl_case_id,year,state_code,dist_code,court_no,cino,judge_position,female_defendant,female_petitioner,female_adv_def,female_adv_pet,type_name,purpose_name,disp_name,date_of_filing,date_of_decision,date_first_list,date_last_list,date_next_list
01-01-01-201908000022014,2014,1,1,1,MHNB030000982014,chief judicial magistrate,-9998 unclear,0 male,-9999,-9998,1907.0,5487.0,25,2014-01-03,2014-10-28,2014-01-16,2014-09-30,2014-10-28
01-01-01-201908000032014,2014,1,1,1,MHNB030001052014,chief judicial magistrate,0 male,1 female,-9999,1,1907.0,6304.0,25,2014-01-01,2015-08-10,2014-02-11,2015-08-03,2015-08-10
01-01-01-201908000052014,2014,1,1,1,MHNB030001302014,chief judicial magistrate,0 male,1 female,-9999,0,1907.0,4366.0,25,2014-01-02,2014-06-10,2014-02-12,2014-05-29,2014-06-10
01-01-01-201908000062014,2014,1,1,1,MHNB030000512014,chief judicial magistrate,0 male,1 female,-9998,0,1907.0,4823.0,22,2014-01-04,2016-11-14,2014-01-04,2016-11-14,2016-11-14
01-01-01-201908000072014,2014,1,1,1,MHNB030000522014,chief judicial magistrate,0 male,0 male,-9999,0,1907.0,5487.0,25,2014-01-04,2014-01-04,2014-01-04,2014-01-04,2014-01-04
01-01-01-201908000082014,2014,1,1,1,MHNB030000642014,chief judicial magistrate,0 male,1 female,-9999,0,1907.0,4366.0,30,2014-01-06,2014-09-05,2014-01-06,2014-08-18,2014-09-05
01-01-01-201908000092014,2014,1,1,1,MHNB030000652014,chief judicial magistrate,0 male,-9998 unclear,-9999,1,1907.0,4366.0,5,2014-01-06,2018-01-03,2014-01-06,2018-01-03,2018-01-03
01-01-01-201908000102014,2014,1,1,1,MHNB030000762014,chief judicial magistrate,0 male,1 female,-9999,0,1907.0,5487.0,25,2014-01-07,2014-01-07,2014-01-07,2014-01-07,2014-01-07
01-01-01-201908000112014,2014,1,1,1,MHNB030000792014,chief judicial magistrate,0 male,1 female,-9999,1,1907.0,4823.0,30,2014-01-07,2015-05-06,2014-01-07,2015-04-16,2015-05-06
01-01-01-201908000122014,2014,1,1,1,MHNB030000802014,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1907.0,1282.0,25,2014-01-07,2014-01-17,2014-01-07,2014-01-10,2014-01-17
01-01-01-201908000132014,2014,1,1,1,MHNB030001032014,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1907.0,7473.0,25,2014-01-10,2014-01-30,2014-01-10,2014-01-10,2014-01-30
01-01-01-201908000142014,2014,1,1,1,MHNB030000072014,chief judicial magistrate,-9998 unclear,-9998 unclear,-9999,0,1907.0,4366.0,22,2014-01-13,2014-04-05,2014-02-14,2014-03-27,2014-04-05
01-01-01-201908000152014,2014,1,1,1,MHNB030001272014,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1907.0,5487.0,25,2014-01-13,2016-02-22,2014-01-13,2016-02-22,2016-02-22
01-01-01-201908000162014,2014,1,1,1,MHNB030003992014,chief judicial magistrate,1 female,-9998 unclear,-9999,0,1907.0,5487.0,25,2014-01-13,2015-01-02,2014-03-28,2014-12-06,2015-01-02
01-01-01-201908000172014,2014,1,1,1,MHNB030000092014,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1907.0,4366.0,22,2014-01-13,2014-04-05,2014-02-14,2014-03-27,2014-04-05
01-01-01-201908000182014,2014,1,1,1,MHNB030001262014,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1907.0,2851.0,51,2014-01-13,2015-09-18,2014-01-13,2015-08-31,2015-09-18
01-01-01-201908000192014,2014,1,1,1,MHNB030003982014,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1907.0,2821.0,25,2014-01-13,2015-01-02,2014-03-28,2014-12-06,2015-01-02
01-01-01-201908000202014,2014,1,1,1,MHNB030000102014,chief judicial magistrate,1 female,0 male,-9999,0,1907.0,5487.0,22,2014-01-13,2015-08-21,2014-01-23,2015-07-13,2015-08-21
01-01-01-201908000212014,2014,1,1,1,MHNB030001182014,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1907.0,4366.0,30,2014-01-15,2015-01-14,2014-01-15,2014-12-24,2015-01-14
01-01-01-201908000222014,2014,1,1,1,MHNB030001192014,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1907.0,2821.0,25,2014-01-15,2016-03-03,2014-01-15,2016-03-03,2016-03-03
01-01-01-201908000232014,2014,1,1,1,MHNB030001202014,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1907.0,2821.0,25,2014-01-15,2015-01-02,2014-01-15,2014-12-06,2015-01-02
01-01-01-201908000242014,2014,1,1,1,MHNB030001212014,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1907.0,4366.0,30,2014-01-15,2015-01-31,2014-01-15,2015-01-06,2015-01-31
01-01-01-201908000252014,2014,1,1,1,MHNB030000082014,chief judicial magistrate,-9998 unclear,1 female,-9999,0,1907.0,5487.0,30,2014-01-17,2014-01-24,2014-01-17,2014-01-17,2014-01-24
01-01-01-201908000262014,2014,1,1,1,MHNB030001352014,chief judicial magistrate,0 male,1 female,0,-9998,1907.0,5487.0,22,2014-01-20,2015-05-16,2014-01-20,2015-04-15,2015-05-16
01-01-01-201908000272014,2014,1,1,1,MHNB030001372014,chief judicial magistrate,0 male,1 female,-9999,0,1907.0,4366.0,25,2014-01-21,2015-07-22,2014-01-21,2015-05-07,2015-07-22
01-01-01-201908000282014,2014,1,1,1,MHNB030001382014,chief judicial magistrate,0 male,1 female,-9999,0,1907.0,4366.0,25,2014-01-21,2015-07-22,2014-01-21,2015-05-07,2015-07-22
01-01-01-201908000292014,2014,1,1,1,MHNB030001402014,chief judicial magistrate,0 male,1 female,-9999,0,1907.0,7246.0,25,2014-01-21,2014-07-03,2014-01-21,2014-05-30,2014-07-03
01-01-01-201908000302014,2014,1,1,1,MHNB030001392014,chief judicial magistrate,1 female,0 male,-9999,0,1907.0,5487.0,25,2014-01-21,2014-01-21,2014-01-21,2014-01-21,2014-01-21
01-01-01-201908000312014,2014,1,1,1,MHNB030001422014,chief judicial magistrate,-9998 unclear,0 male,-9999,0,1907.0,5487.0,25,2014-01-23,2014-01-29,2014-01-23,2014-01-23,2014-01-29
01-01-01-201908000322014,2014,1,1,1,MHNB030001492014,chief judicial magistrate,-9998 unclear,0 male,-9999,0,1907.0,6295.0,25,2014-01-27,2014-02-06,2014-01-27,2014-02-03,2014-02-06
01-01-01-201908000332014,2014,1,1,1,MHNB030001542014,chief judicial magistrate,0 male,1 female,-9999,0,1907.0,2506.0,51,2014-01-28,2016-06-21,2014-01-28,2016-06-21,2016-06-21
01-01-01-201908000342014,2014,1,1,1,MHNB030001642014,chief judicial magistrate,-9998 unclear,1 female,-9999,1,1907.0,4823.0,32,2014-01-29,2014-07-10,2014-01-29,2014-06-23,2014-07-10
01-01-01-201908000352014,2014,1,1,1,MHNB030001662014,chief judicial magistrate,0 male,0 male,-9999,0,1907.0,7161.0,43,2014-01-30,2014-11-08,2014-01-30,2014-10-30,2014-11-08
01-01-01-201908000362014,2014,1,1,1,MHNB030001692014,chief judicial magistrate,0 male,1 female,-9999,-9998,1907.0,4823.0,30,2014-01-30,2015-03-11,2014-01-30,2015-02-24,2015-03-11
01-01-01-201908000372014,2014,1,1,1,MHNB030001752014,chief judicial magistrate,0 male,0 male,-9999,0,1907.0,5487.0,51,2014-02-01,2014-07-30,2014-02-01,2014-07-09,2014-07-30
01-01-01-201908000382014,2014,1,1,1,MHNB030001792014,chief judicial magistrate,0 male,1 female,-9999,0,1907.0,7473.0,25,2014-02-03,2014-02-03,2014-02-03,2014-02-03,2014-02-03
01-01-01-201908000392014,2014,1,1,1,MHNB030001862014,chief judicial magistrate,0 male,1 female,0,1,1907.0,2506.0,51,2014-02-04,2019-02-11,2014-02-04,2019-02-11,2019-02-11
01-01-01-201908000402014,2014,1,1,1,MHNB030001912014,chief judicial magistrate,0 male,1 female,-9999,0,1907.0,4366.0,30,2014-02-05,2014-11-07,2014-02-05,2014-10-10,2014-11-07
